,count,freq
apaccamatthatta,1,0.00026939655172413793
breast,62,0.01670258620689655
supporting,125,0.033674568965517244
journey,28,0.007543103448275862
vigorously,1,0.00026939655172413793
sonofthesakyan,1,0.00026939655172413793
abused,7,0.0018857758620689656
late,42,0.011314655172413793
redress,1,0.00026939655172413793
approach,40,0.010775862068965518
laughs,2,0.0005387931034482759
davids,24,0.00646551724137931
despises,4,0.0010775862068965517
progressively,13,0.003502155172413793
despairing,2,0.0005387931034482759
viewposition,3,0.0008081896551724138
strokes,13,0.003502155172413793
swiftrunning,4,0.0010775862068965517
cannibalism,1,0.00026939655172413793
rolledup,3,0.0008081896551724138
classified,60,0.016163793103448277
sucitti,1,0.00026939655172413793
barkdress,3,0.0008081896551724138
sittings,3,0.0008081896551724138
perverse,1,0.00026939655172413793
liars,3,0.0008081896551724138
firm,139,0.03744612068965517
tumor,2,0.0005387931034482759
kayasamim,1,0.00026939655172413793
probationers,2,0.0005387931034482759
darning,1,0.00026939655172413793
adhering,5,0.0013469827586206897
shoot,21,0.005657327586206897
moneylender,2,0.0005387931034482759
quarrel,9,0.0024245689655172415
divinely,1,0.00026939655172413793
sentient,6,0.0016163793103448276
nissaya,1,0.00026939655172413793
firmly,65,0.017510775862068964
containers,7,0.0018857758620689656
hungerfatigue,1,0.00026939655172413793
anthill,6,0.0016163793103448276
menial,4,0.0010775862068965517
antamakāsi,1,0.00026939655172413793
offensive,2,0.0005387931034482759
displeased,15,0.004040948275862069
prosperity,16,0.004310344827586207
eruptions,1,0.00026939655172413793
isolation,4,0.0010775862068965517
bewail,1,0.00026939655172413793
breed,1,0.00026939655172413793
vayodhatuti,2,0.0005387931034482759
extension,17,0.0045797413793103444
attend,117,0.03151939655172414
jananam,2,0.0005387931034482759
relied,5,0.0013469827586206897
salala,2,0.0005387931034482759
dayquarters,1,0.00026939655172413793
distributed,7,0.0018857758620689656
yevetam,1,0.00026939655172413793
invades,6,0.0016163793103448276
receiving,19,0.0051185344827586205
propertobepracticed,1,0.00026939655172413793
common,130,0.03502155172413793
bojjhangakosalla,1,0.00026939655172413793
discarded,36,0.009698275862068966
bhavanavasena,1,0.00026939655172413793
omnipresent,2,0.0005387931034482759
awake,14,0.003771551724137931
mindborn,1,0.00026939655172413793
plaited,2,0.0005387931034482759
involve,2,0.0005387931034482759
nodding,12,0.003232758620689655
angas,3,0.0008081896551724138
apaya,1,0.00026939655172413793
watchfulness,8,0.0021551724137931034
tusitas,2,0.0005387931034482759
aham,4,0.0010775862068965517
pahana,4,0.0010775862068965517
weakens,3,0.0008081896551724138
