,word,count,freq
1174,course,163,0.04391163793103448
17509,accompanied,162,0.043642241379310345
10395,physical,162,0.043642241379310345
16599,eternal,162,0.043642241379310345
427,used,162,0.043642241379310345
15740,hard,162,0.043642241379310345
12829,discern,161,0.043372844827586216
6133,commentary,161,0.043372844827586216
10553,admirable,161,0.043372844827586216
13323,didnt,161,0.043372844827586216
1904,defilement,160,0.04310344827586207
6032,fall,160,0.04310344827586207
8809,sensitive,160,0.04310344827586207
15893,single,159,0.04283405172413793
8122,shore,159,0.04283405172413793
7233,replied,159,0.04283405172413793
2743,pay,158,0.042564655172413784
2315,myself,158,0.042564655172413784
7182,giving,158,0.042564655172413784
7738,aside,158,0.042564655172413784
6835,nibbana,158,0.042564655172413784
15807,later,157,0.042295258620689655
13973,reached,157,0.042295258620689655
14461,persons,157,0.042295258620689655
11839,little,157,0.042295258620689655
18249,act,157,0.042295258620689655
14071,develops,156,0.04202586206896552
4249,group,156,0.04202586206896552
3203,connected,155,0.04175646551724138
3128,grief,155,0.04175646551724138
10830,fact,155,0.04175646551724138
18493,close,155,0.04175646551724138
9986,spoken,154,0.04148706896551725
15555,battle,154,0.04148706896551725
13675,skilled,154,0.04148706896551725
2978,nutriment,154,0.04148706896551725
1959,reborn,154,0.04148706896551725
282,beginning,154,0.04148706896551725
15650,ceases,153,0.0412176724137931
54,told,153,0.0412176724137931
15069,recluses,152,0.040948275862068964
3669,oneself,151,0.040678879310344834
17311,eightfold,150,0.04040948275862069
17836,grow,150,0.04040948275862069
12442,abandons,150,0.04040948275862069
13371,really,150,0.04040948275862069
2767,lying,150,0.04040948275862069
8224,greater,150,0.04040948275862069
5707,ocean,150,0.04040948275862069
3652,hand,149,0.04014008620689656
9892,higher,148,0.03987068965517242
13028,delighting,148,0.03987068965517242
17416,use,148,0.03987068965517242
3090,heedful,148,0.03987068965517242
14413,fading,148,0.03987068965517242
3021,different,148,0.03987068965517242
16110,transcending,147,0.039601293103448267
11579,percipient,147,0.039601293103448267
9242,senses,147,0.039601293103448267
17003,externally,147,0.039601293103448267
1210,kassapa,147,0.039601293103448267
3675,drink,147,0.039601293103448267
10864,hands,147,0.039601293103448267
9088,listen,146,0.03933189655172414
1642,deprivation,146,0.03933189655172414
8648,runofthemill,146,0.03933189655172414
8794,elder,146,0.03933189655172414
17495,aggregates,146,0.03933189655172414
18236,lies,145,0.0390625
2560,realm,145,0.0390625
6687,came,145,0.0390625
3264,renunciation,145,0.0390625
2037,disease,144,0.03879310344827586
11788,work,144,0.03879310344827586
15415,plane,144,0.03879310344827586
3122,eyes,143,0.038523706896551733
4195,morning,143,0.038523706896551733
10791,burning,143,0.038523706896551733
13540,putting,143,0.038523706896551733
16933,sage,142,0.03825431034482758
12390,cease,142,0.03825431034482758
10129,discerned,142,0.03825431034482758
7236,formations,142,0.03825431034482758
6257,fulfilled,141,0.03798491379310345
14574,doubt,141,0.03798491379310345
14412,abandon,141,0.03798491379310345
17349,rules,141,0.03798491379310345
4956,arahantship,141,0.03798491379310345
617,maha,140,0.03771551724137931
2524,family,140,0.03771551724137931
12251,held,140,0.03771551724137931
12992,freedom,139,0.037446120689655166
10546,expected,139,0.037446120689655166
541,firm,139,0.037446120689655166
14335,total,138,0.037176724137931036
4584,direction,138,0.037176724137931036
3018,aggregate,138,0.037176724137931036
1286,imbued,137,0.0369073275862069
14752,able,137,0.0369073275862069
5800,task,137,0.0369073275862069
5353,sensations,137,0.0369073275862069
11958,minds,137,0.0369073275862069
7829,sound,137,0.0369073275862069
11799,illness,137,0.0369073275862069
14309,occurs,137,0.0369073275862069
18304,fit,136,0.03663793103448276
8158,arahants,136,0.03663793103448276
6336,gold,136,0.03663793103448276
13664,wellgone,136,0.03663793103448276
7727,household,136,0.03663793103448276
4661,withdrawn,136,0.03663793103448276
17642,process,135,0.03636853448275862
3486,refined,135,0.03636853448275862
11002,speaking,135,0.03636853448275862
6553,deathless,135,0.03636853448275862
11401,royal,135,0.03636853448275862
4976,theme,134,0.03609913793103448
8373,teachings,134,0.03609913793103448
17059,arahant,134,0.03609913793103448
1950,realization,134,0.03609913793103448
5436,heightened,133,0.035829741379310345
6650,follows,133,0.035829741379310345
10992,follower,133,0.035829741379310345
6980,wants,133,0.035829741379310345
16801,bring,133,0.035829741379310345
6516,looking,132,0.035560344827586216
6762,town,132,0.035560344827586216
8653,stay,132,0.035560344827586216
3081,origin,132,0.035560344827586216
17392,destruction,132,0.035560344827586216
2208,nonperception,132,0.035560344827586216
13430,loss,132,0.035560344827586216
2910,experiencing,132,0.035560344827586216
9137,sphere,132,0.035560344827586216
19393,entirely,131,0.03529094827586207
14095,outer,131,0.03529094827586207
11004,recluse,131,0.03529094827586207
18122,remained,131,0.03529094827586207
8174,energy,131,0.03529094827586207
